"suite_id","fixture_class","fixture","seed","family","width","height","days","steps_per_day","fuel_limit","fuel_regime","lane","solver","lifetime_distinct","total_daily_distinct","total_servings","valid","peer_self_semantic_parity","peer_self_semantic_mismatch_days","hard_cap_observed","role_ms","max_day_ms","roles","peer_self_semantic_mismatches","failure"
"ATTR-OPPONENT-068","generated-btc-large","attr-opponent-066-low-btc-large-overnight-seed-72005","72005","overnight","32","32","10","100","120","low","fixed","udon-shield","6","60","418","1","1","0","0","0","2490","0|0|0|0|0|0|0|1","",""
"ATTR-OPPONENT-068","generated-btc-large","attr-opponent-066-low-btc-large-overnight-seed-72005","72005","overnight","32","32","10","100","120","low","fixed","thing-or-think-hexudon-procon:production-default","6","60","462","1","0","10","0","0","22451","0|0|0|0|0|0|0|1","d1:final agent state mismatch|d2:daily score mismatch peer=6/53 udon=6/46|d3:daily score mismatch peer=6/54 udon=6/47|d4:daily score mismatch peer=6/49 udon=6/43|d5:daily score mismatch peer=6/54 udon=6/48|d6:daily score mismatch peer=6/54 udon=6/47|d7:daily score mismatch peer=6/54 udon=6/47|d8:daily score mismatch peer=6/52 udon=6/45|d9:daily score mismatch peer=6/53 udon=6/47|d10:daily score mismatch peer=6/54 udon=6/47",""
"ATTR-OPPONENT-068","generated-btc-large","attr-opponent-066-low-btc-large-overnight-seed-72005","72005","overnight","32","32","10","100","120","low","fixed","thing-or-think-hexudon-procon:whole-match-mlns-fuel-aware","6","60","462","1","0","10","0","0","30280","0|0|0|0|0|0|0|1","d1:final agent state mismatch|d2:daily score mismatch peer=6/53 udon=6/46|d3:daily score mismatch peer=6/54 udon=6/47|d4:daily score mismatch peer=6/49 udon=6/43|d5:daily score mismatch peer=6/54 udon=6/48|d6:daily score mismatch peer=6/54 udon=6/47|d7:daily score mismatch peer=6/54 udon=6/47|d8:daily score mismatch peer=6/52 udon=6/45|d9:daily score mismatch peer=6/53 udon=6/47|d10:daily score mismatch peer=6/54 udon=6/47",""
"ATTR-OPPONENT-068","generated-btc-large","attr-opponent-066-low-btc-large-overnight-seed-72005","72005","overnight","32","32","10","100","120","low","fixed","thing-or-think-hexudon-procon:release-b-all","0","0","0","0","0","7","0","0","34332","0|0|0|0|0|0|0|1","d1:final agent state mismatch|d2:daily score mismatch peer=6/53 udon=6/46|d3:daily score mismatch peer=6/54 udon=6/47|d4:daily score mismatch peer=6/49 udon=6/43|d5:daily score mismatch peer=6/53 udon=6/46|d6:final agent state mismatch|d7:daily score mismatch peer=6/51 udon=6/45","UDON evaluator rejected peer action day 8: code=8 agent=2 step=47 message=patrol lacks fuel when accepting a movement"
