experiment_id,split,suite,first_seed,count,role_mode,role_mask,budget_ms,transforms
ATTR-METAMORPHIC-INVARIANCE-173,development,general,1730000,6,fixed,0,5000,agent-rotate|spot-reverse|brand-relabel|compound
ATTR-METAMORPHIC-INVARIANCE-173,holdout,general,1731000,18,fixed,0,5000,agent-rotate|spot-reverse|brand-relabel|compound
ATTR-METAMORPHIC-INVARIANCE-173,holdout,btc-lowfuel,1732000,2,fixed,0,5000,agent-rotate|spot-reverse|brand-relabel|compound
ATTR-METAMORPHIC-INVARIANCE-173,holdout,btc-large,1732100,2,fixed,0,5000,agent-rotate|spot-reverse|brand-relabel|compound
ATTR-METAMORPHIC-INVARIANCE-173,holdout,btc-highfuel,1732200,2,fixed,0,5000,agent-rotate|spot-reverse|brand-relabel|compound
