experiment_id,split,source_experiment,suite,map_side,days,agents,fuel_profile,role_mode,role_mask,first_seed,count,budget_ms,protected_wait_ms,purpose,authority
ATTR-PROTECTED-WAIT-FIXEDPOINT-204,consumed,DEADLINE-DOMINANCE-ANYTIME-187,btc-large,32,10,8,default,fixed,128,4411000,1,3375,5000,measure-round1-versus-protected-fixed-point,opened-184-187
ATTR-PROTECTED-WAIT-FIXEDPOINT-204,consumed,DEADLINE-LONG-166,btc-large,32,10,8,low,fixed,128,4310100,1,3375,5000,no-round1-gain-control,opened-166-187
ATTR-PROTECTED-WAIT-FIXEDPOINT-204,consumed,DEADLINE-LONG-166,btc-large,32,10,8,high,fixed,128,4310200,1,3375,5000,no-round1-gain-control,opened-166-187
