experiment_id,split,suite,first_seed,count,budget_ms,role_budget_ms,role_mode,role_mask,comparison
ATTR-TANKER-CAUSAL-GENERALIZATION-143,holdout,general,316000,12,5000,5000,deadline,0,same-binary-mobile-enabled-vs-disabled
ATTR-TANKER-CAUSAL-GENERALIZATION-143,holdout,general,316100,12,5000,5000,fixed,0,same-binary-mobile-enabled-vs-disabled
ATTR-TANKER-CAUSAL-GENERALIZATION-143,holdout,btc-lowfuel,731000,1,5000,5000,fixed,128,same-binary-mobile-enabled-vs-disabled
ATTR-TANKER-CAUSAL-GENERALIZATION-143,holdout,btc-large,732000,1,5000,5000,fixed,128,same-binary-mobile-enabled-vs-disabled
ATTR-TANKER-CAUSAL-GENERALIZATION-143,holdout,btc-highfuel,733000,1,5000,5000,fixed,128,same-binary-mobile-enabled-vs-disabled
